game_id,team_id,gold_earned,total_damage_dealt_to_champions,total_damage_taken,damage_dealt_to_turrets,wards_placed,wards_killed,vision_score,champion_mastery_level,baron_kills,dragon_kills,win
3565804199.0,100.0,65126.0,148338.0,137818.0,24064.0,52.0,0.0,20.4,3.0,0.0,0.0,1
3565804199.0,200.0,59448.0,112055.0,182281.0,12771.0,35.0,1.0,11.6,1.8,0.0,0.0,0
3565821018.0,100.0,47703.0,66673.0,67896.0,22477.0,44.0,3.0,16.4,3.6,0.0,0.0,1
3565821018.0,200.0,34622.0,42893.0,87577.0,8183.0,35.0,3.0,16.6,17.0,0.0,0.0,0
3565857134.0,100.0,51527.0,68418.0,117350.0,5381.0,56.0,12.0,22.8,2.2,0.0,0.0,0
3565857134.0,200.0,60015.0,96304.0,112072.0,33469.0,51.0,12.0,26.2,2.6,0.0,0.0,1
3566781123.0,100.0,90184.0,205869.0,245280.0,25014.0,80.0,13.0,44.8,2.2,0.0,1.0,1
3566781123.0,200.0,89571.0,202269.0,248468.0,19496.0,42.0,32.0,32.0,6.2,0.0,0.0,0
3566804017.0,100.0,44610.0,56349.0,114214.0,4939.0,33.0,9.0,18.6,2.6,0.0,0.0,0
3566804017.0,200.0,56634.0,99439.0,93094.0,29924.0,61.0,6.0,23.6,20.8,0.0,0.0,1
3566834543.0,100.0,25090.0,22560.0,33331.0,5720.0,16.0,3.0,5.8,11.6,0.0,0.0,1
3566834543.0,200.0,22207.0,15306.0,35611.0,3880.0,16.0,0.0,6.2,3.4,0.0,0.0,0
3571012652.0,100.0,41228.0,58195.0,117908.0,3827.0,48.0,5.0,16.6,3.6,0.0,0.0,0
3571012652.0,200.0,49388.0,92589.0,82945.0,24173.0,35.0,11.0,15.6,28.4,0.0,0.0,1
3575471465.0,100.0,22590.0,28828.0,42594.0,1091.0,28.0,3.0,9.0,2.6,0.0,0.0,0
3575471465.0,200.0,29994.0,31774.0,51365.0,10189.0,23.0,4.0,9.4,3.4,0.0,0.0,1
3575497094.0,100.0,65744.0,138540.0,129486.0,20818.0,66.0,7.0,26.8,6.4,0.0,0.0,1
3575497094.0,200.0,60485.0,96611.0,162120.0,7592.0,35.0,10.0,23.0,3.8,0.0,0.0,0
3654058454.0,100.0,53532.0,99947.0,142501.0,10530.0,52.0,16.0,31.0,19.2,0.0,0.0,0
3654058454.0,200.0,64175.0,117824.0,138780.0,22430.0,54.0,15.0,26.4,36.0,0.0,0.0,1
3654080451.0,100.0,47139.0,72060.0,130053.0,8427.0,36.0,2.0,12.2,8.6,0.0,0.0,0
3654080451.0,200.0,59374.0,105683.0,116821.0,26170.0,27.0,7.0,15.2,9.4,0.0,0.0,1
3654478787.0,100.0,67587.0,114516.0,164749.0,13774.0,57.0,5.0,24.2,10.8,0.0,1.0,0
3654478787.0,200.0,70322.0,138806.0,149234.0,28874.0,60.0,10.0,25.8,8.8,1.0,0.0,1
3654511414.0,100.0,67925.0,141794.0,156233.0,15126.0,54.0,8.0,23.4,13.4,0.0,0.0,0
3654511414.0,200.0,70640.0,122079.0,176968.0,14911.0,101.0,14.0,41.0,64.2,0.0,1.0,1
3664692915.0,100.0,58800.0,120380.0,157732.0,9334.0,48.0,13.0,25.8,5.0,0.0,1.0,0
3664692915.0,200.0,71000.0,123805.0,144602.0,32833.0,56.0,7.0,23.4,10.4,0.0,1.0,1
3667861244.0,100.0,27508.0,39086.0,70377.0,3554.0,29.0,5.0,11.2,6.8,0.0,0.0,0
3667861244.0,200.0,43163.0,55782.0,67337.0,22325.0,36.0,6.0,17.0,8.6,0.0,0.0,1
3688765435.0,100.0,90860.0,259205.0,334897.0,23093.0,114.0,20.0,49.0,9.6,0.0,0.0,0
3688765435.0,200.0,94046.0,265243.0,303856.0,28470.0,104.0,31.0,48.6,11.2,0.0,3.0,1
3688808781.0,100.0,49032.0,87252.0,86307.0,15189.0,34.0,3.0,15.2,4.0,0.0,0.0,1
3688808781.0,200.0,40529.0,64151.0,115118.0,5497.0,39.0,6.0,15.8,4.6,0.0,0.0,0
3688833494.0,100.0,46188.0,87238.0,125255.0,8787.0,53.0,10.0,23.0,4.8,0.0,0.0,0
3688833494.0,200.0,60636.0,104495.0,130481.0,18393.0,47.0,10.0,19.8,13.0,0.0,0.0,1
3688850765.0,100.0,48087.0,98874.0,113098.0,11147.0,48.0,5.0,20.0,6.8,0.0,0.0,0
3688850765.0,200.0,53462.0,87976.0,139612.0,17640.0,53.0,6.0,21.8,11.4,0.0,0.0,1
3688873184.0,100.0,66179.0,131296.0,173896.0,26182.0,59.0,6.0,23.6,6.4,1.0,0.0,1
3688873184.0,200.0,55866.0,129189.0,165422.0,7610.0,64.0,11.0,29.0,3.6,0.0,0.0,0
3690445027.0,100.0,54426.0,92782.0,103804.0,18517.0,53.0,24.0,28.0,45.4,0.0,0.0,1
3690445027.0,200.0,39854.0,73750.0,109470.0,3849.0,60.0,14.0,26.8,11.2,0.0,0.0,0
3694127560.0,100.0,62916.0,88058.0,115023.0,26562.0,54.0,20.0,29.0,5.4,1.0,3.0,1
3694127560.0,200.0,50175.0,77382.0,111935.0,1143.0,64.0,11.0,27.4,13.2,0.0,1.0,0
3694159141.0,100.0,47613.0,100336.0,155088.0,1995.0,44.0,8.0,15.6,15.4,0.0,0.0,0
